168 (symbol, year) pairs to fetch, 4 workers
[1/168] AAPL 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[2/168] AAPL 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[3/168] AAPL 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[4/168] AAPL 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[5/168] AAPL 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[6/168] AAPL 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[7/168] AAPL 2022: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[8/168] AAPL 2021: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[9/168] AAPL 2023: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[10/168] AAPL 2024: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[11/168] AAPL 2025: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[12/168] AAPL 2026: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[13/168] MSFT 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[14/168] MSFT 2015: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[15/168] MSFT 2016: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[16/168] MSFT 2017: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[17/168] MSFT 2018: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[18/168] MSFT 2019: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
[19/168] MSFT 2020: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
